source,destination,timestamp,time
1,5,1,2020-01-01 00
1,111,1,2020-01-01 00
2,77,1,2020-01-01 00
2,140,1,2020-01-01 00
3,50,1,2020-01-01 00
3,63,1,2020-01-01 00
3,66,1,2020-01-01 00
3,136,1,2020-01-01 00
3,144,1,2020-01-01 00
6,59,1,2020-01-01 00
8,35,1,2020-01-01 00
8,61,1,2020-01-01 00
8,98,1,2020-01-01 00
8,117,1,2020-01-01 00
10,50,1,2020-01-01 00
10,62,1,2020-01-01 00
10,77,1,2020-01-01 00
10,140,1,2020-01-01 00
11,42,1,2020-01-01 00
11,98,1,2020-01-01 00
11,117,1,2020-01-01 00
12,57,1,2020-01-01 00
12,59,1,2020-01-01 00
12,62,1,2020-01-01 00
12,104,1,2020-01-01 00
12,106,1,2020-01-01 00
12,109,1,2020-01-01 00
13,39,1,2020-01-01 00
13,57,1,2020-01-01 00
13,68,1,2020-01-01 00
13,109,1,2020-01-01 00
13,126,1,2020-01-01 00
13,138,1,2020-01-01 00
14,42,1,2020-01-01 00
14,57,1,2020-01-01 00
14,98,1,2020-01-01 00
14,117,1,2020-01-01 00
15,62,1,2020-01-01 00
15,146,1,2020-01-01 00
16,42,1,2020-01-01 00
16,45,1,2020-01-01 00
16,50,1,2020-01-01 00
16,52,1,2020-01-01 00
16,59,1,2020-01-01 00
16,65,1,2020-01-01 00
16,98,1,2020-01-01 00
16,106,1,2020-01-01 00
16,117,1,2020-01-01 00
16,118,1,2020-01-01 00
16,125,1,2020-01-01 00
16,126,1,2020-01-01 00
18,128,1,2020-01-01 00
19,59,1,2020-01-01 00
20,27,1,2020-01-01 00
21,77,1,2020-01-01 00
22,84,1,2020-01-01 00
22,146,1,2020-01-01 00
24,111,1,2020-01-01 00
26,27,1,2020-01-01 00
26,57,1,2020-01-01 00
26,59,1,2020-01-01 00
26,67,1,2020-01-01 00
26,68,1,2020-01-01 00
26,77,1,2020-01-01 00
26,108,1,2020-01-01 00
26,111,1,2020-01-01 00
26,119,1,2020-01-01 00
26,146,1,2020-01-01 00
27,50,1,2020-01-01 00
27,57,1,2020-01-01 00
27,59,1,2020-01-01 00
27,67,1,2020-01-01 00
27,74,1,2020-01-01 00
27,78,1,2020-01-01 00
27,83,1,2020-01-01 00
27,94,1,2020-01-01 00
27,103,1,2020-01-01 00
27,104,1,2020-01-01 00
27,119,1,2020-01-01 00
27,144,1,2020-01-01 00
29,63,1,2020-01-01 00
30,42,1,2020-01-01 00
30,98,1,2020-01-01 00
30,117,1,2020-01-01 00
33,98,1,2020-01-01 00
33,117,1,2020-01-01 00
33,130,1,2020-01-01 00
35,108,1,2020-01-01 00
35,109,1,2020-01-01 00
35,136,1,2020-01-01 00
38,42,1,2020-01-01 00
38,98,1,2020-01-01 00
38,117,1,2020-01-01 00
39,42,1,2020-01-01 00
39,67,1,2020-01-01 00
39,95,1,2020-01-01 00
39,98,1,2020-01-01 00
39,117,1,2020-01-01 00
39,138,1,2020-01-01 00
39,143,1,2020-01-01 00
40,77,1,2020-01-01 00
40,108,1,2020-01-01 00
40,111,1,2020-01-01 00
42,45,1,2020-01-01 00
42,50,1,2020-01-01 00
42,52,1,2020-01-01 00
42,53,1,2020-01-01 00
42,63,1,2020-01-01 00
42,65,1,2020-01-01 00
42,85,1,2020-01-01 00
42,88,1,2020-01-01 00
42,96,1,2020-01-01 00
42,98,1,2020-01-01 00
42,103,1,2020-01-01 00
42,117,1,2020-01-01 00
42,120,1,2020-01-01 00
42,124,1,2020-01-01 00
42,133,1,2020-01-01 00
42,136,1,2020-01-01 00
42,138,1,2020-01-01 00
43,63,1,2020-01-01 00
43,68,1,2020-01-01 00
43,78,1,2020-01-01 00
43,109,1,2020-01-01 00
43,115,1,2020-01-01 00
43,140,1,2020-01-01 00
45,85,1,2020-01-01 00
45,98,1,2020-01-01 00
45,117,1,2020-01-01 00
45,133,1,2020-01-01 00
45,136,1,2020-01-01 00
46,63,1,2020-01-01 00
46,98,1,2020-01-01 00
46,144,1,2020-01-01 00
48,77,1,2020-01-01 00
48,118,1,2020-01-01 00
50,58,1,2020-01-01 00
