time,source,target,st,tt,t,id
54120,26,66,PC,PC,12/01/2011 09:00,0
54140,26,66,PC,PC,12/01/2011 09:00,0
54160,24,25,PC,PC,12/01/2011 09:00,1
54160,100,37,PC,PC,12/01/2011 09:00,2
54180,37,57,PC,PC*,12/01/2011 09:00,3
54180,26,57,PC,PC*,12/01/2011 09:00,4
54180,26,66,PC,PC,12/01/2011 09:00,0
54180,100,66,PC,PC,12/01/2011 09:00,5
54180,66,57,PC,PC*,12/01/2011 09:00,6
54200,37,57,PC,PC*,12/01/2011 09:00,3
54200,100,66,PC,PC,12/01/2011 09:00,5
54200,66,37,PC,PC,12/01/2011 09:00,7
54200,66,57,PC,PC*,12/01/2011 09:00,6
54200,24,47,PC,PSI*,12/01/2011 09:00,8
54220,24,25,PC,PC,12/01/2011 09:00,1
54220,100,66,PC,PC,12/01/2011 09:00,5
54220,66,37,PC,PC,12/01/2011 09:00,7
54240,24,25,PC,PC,12/01/2011 09:00,1
54240,66,33,PC,PC*,12/01/2011 09:00,9
54240,26,66,PC,PC,12/01/2011 09:00,0
54240,100,66,PC,PC,12/01/2011 09:00,5
54260,66,33,PC,PC*,12/01/2011 09:00,9
54260,100,66,PC,PC,12/01/2011 09:00,5
54280,24,25,PC,PC,12/01/2011 09:00,1
54280,100,66,PC,PC,12/01/2011 09:00,5
54300,24,25,PC,PC,12/01/2011 09:00,1
54300,25,57,PC,PC*,12/01/2011 09:00,10
54300,24,57,PC,PC*,12/01/2011 09:00,11
54300,100,66,PC,PC,12/01/2011 09:00,5
54320,24,25,PC,PC,12/01/2011 09:00,1
54320,25,57,PC,PC*,12/01/2011 09:00,10
54340,24,25,PC,PC,12/01/2011 09:00,1
54340,66,33,PC,PC*,12/01/2011 09:00,9
54340,100,33,PC,PC*,12/01/2011 09:00,12
54340,66,37,PC,PC,12/01/2011 09:00,7
54340,37,33,PC,PC*,12/01/2011 09:00,13
54360,100,33,PC,PC*,12/01/2011 09:00,12
54360,100,66,PC,PC,12/01/2011 09:00,5
54360,37,33,PC,PC*,12/01/2011 09:00,13
54380,100,33,PC,PC*,12/01/2011 09:00,12
54380,100,66,PC,PC,12/01/2011 09:00,5
