time,src,dst,ss,ds,t,id
54120,26,66,PC,PC,12/01/2011 09:02,0
54140,26,66,PC,PC,12/01/2011 09:02,0
54160,24,25,PC,PC,12/01/2011 09:02,1
54160,100,37,PC,PC,12/01/2011 09:02,2
54180,37,57,PC,PC*,12/01/2011 09:03,3
54180,26,57,PC,PC*,12/01/2011 09:03,4
54180,26,66,PC,PC,12/01/2011 09:03,0
54180,100,66,PC,PC,12/01/2011 09:03,5
54180,66,57,PC,PC*,12/01/2011 09:03,6
54200,37,57,PC,PC*,12/01/2011 09:03,3
54200,100,66,PC,PC,12/01/2011 09:03,5
54200,66,37,PC,PC,12/01/2011 09:03,7
54200,66,57,PC,PC*,12/01/2011 09:03,6
54200,24,47,PC,PSI*,12/01/2011 09:03,8
54220,24,25,PC,PC,12/01/2011 09:03,1
54220,100,66,PC,PC,12/01/2011 09:03,5
54220,66,37,PC,PC,12/01/2011 09:03,7
54240,24,25,PC,PC,12/01/2011 09:04,1
54240,66,33,PC,PC*,12/01/2011 09:04,9
54240,26,66,PC,PC,12/01/2011 09:04,0
54240,100,66,PC,PC,12/01/2011 09:04,5
54260,66,33,PC,PC*,12/01/2011 09:04,9
54260,100,66,PC,PC,12/01/2011 09:04,5
54280,24,25,PC,PC,12/01/2011 09:04,1
54280,100,66,PC,PC,12/01/2011 09:04,5
54300,24,25,PC,PC,12/01/2011 09:05,1
54300,25,57,PC,PC*,12/01/2011 09:05,10
54300,24,57,PC,PC*,12/01/2011 09:05,11
54300,100,66,PC,PC,12/01/2011 09:05,5
54320,24,25,PC,PC,12/01/2011 09:05,1
54320,25,57,PC,PC*,12/01/2011 09:05,10
54340,24,25,PC,PC,12/01/2011 09:05,1
54340,66,33,PC,PC*,12/01/2011 09:05,9
54340,100,33,PC,PC*,12/01/2011 09:05,12
54340,66,37,PC,PC,12/01/2011 09:05,7
54340,37,33,PC,PC*,12/01/2011 09:05,13
54360,100,33,PC,PC*,12/01/2011 09:06,12
54360,100,66,PC,PC,12/01/2011 09:06,5
54360,37,33,PC,PC*,12/01/2011 09:06,13
54380,100,33,PC,PC*,12/01/2011 09:06,12
54380,100,66,PC,PC,12/01/2011 09:06,5
54380,37,33,PC,PC*,12/01/2011 09:06,13
54400,100,37,PC,PC,12/01/2011 09:06,2
54400,66,33,PC,PC*,12/01/2011 09:06,9
54400,100,33,PC,PC*,12/01/2011 09:06,12
54400,100,66,PC,PC,12/01/2011 09:06,5
54400,66,37,PC,PC,12/01/2011 09:06,7
54400,37,33,PC,PC*,12/01/2011 09:06,13
54420,66,37,PC,PC,12/01/2011 09:07,7
54440,100,66,PC,PC,12/01/2011 09:07,5
54460,66,37,PC,PC,12/01/2011 09:07,7
54460,44,47,PC*,PSI*,12/01/2011 09:07,14
54480,26,66,PC,PC,12/01/2011 09:08,0
54480,100,66,PC,PC,12/01/2011 09:08,5
54480,66,37,PC,PC,12/01/2011 09:08,7
54500,100,37,PC,PC,12/01/2011 09:08,2
54500,26,66,PC,PC,12/01/2011 09:08,0
54500,100,66,PC,PC,12/01/2011 09:08,5
54500,66,37,PC,PC,12/01/2011 09:08,7
54500,26,37,PC,PC,12/01/2011 09:08,15
54520,100,37,PC,PC,12/01/2011 09:08,2
54520,35,47,PSI*,PSI*,12/01/2011 09:08,16
54520,100,66,PC,PC,12/01/2011 09:08,5
54520,66,37,PC,PC,12/01/2011 09:08,7
54540,100,37,PC,PC,12/01/2011 09:09,2
54540,106,45,PC,PC*,12/01/2011 09:09,17
54540,94,30,PC*,PC*,12/01/2011 09:09,18
54540,100,66,PC,PC,12/01/2011 09:09,5
54540,66,37,PC,PC,12/01/2011 09:09,7
54560,106,45,PC,PC*,12/01/2011 09:09,17
54560,106,66,PC,PC,12/01/2011 09:09,19
54560,100,66,PC,PC,12/01/2011 09:09,5
54560,66,37,PC,PC,12/01/2011 09:09,7
54580,21,84,PSI*,PSI*,12/01/2011 09:09,20
54580,57,4,PC*,PC*,12/01/2011 09:09,21
54580,66,45,PC,PC*,12/01/2011 09:09,22
54580,106,66,PC,PC,12/01/2011 09:09,19
54580,106,100,PC,PC,12/01/2011 09:09,23
54580,100,66,PC,PC,12/01/2011 09:09,5
54580,66,37,PC,PC,12/01/2011 09:09,7
54600,106,45,PC,PC*,12/01/2011 09:10,17
54600,66,33,PC,PC*,12/01/2011 09:10,9
54600,106,37,PC,PC,12/01/2011 09:10,24
54600,100,45,PC,PC*,12/01/2011 09:10,25
54600,106,66,PC,PC,12/01/2011 09:10,19
54600,113,119,PC*,PC*,12/01/2011 09:10,26
54600,106,100,PC,PC,12/01/2011 09:10,23
54600,100,66,PC,PC,12/01/2011 09:10,5
54620,106,45,PC,PC*,12/01/2011 09:10,17
54620,66,45,PC,PC*,12/01/2011 09:10,22
54620,94,109,PC*,PC*,12/01/2011 09:10,27
54620,41,10,PSI*,PSI*,12/01/2011 09:10,28
54620,100,45,PC,PC*,12/01/2011 09:10,25
54620,26,33,PC,PC*,12/01/2011 09:10,29
54620,106,100,PC,PC,12/01/2011 09:10,23
54620,28,100,PC,PC,12/01/2011 09:10,30
54620,100,66,PC,PC,12/01/2011 09:10,5
54620,37,33,PC,PC*,12/01/2011 09:10,13
54620,26,37,PC,PC,12/01/2011 09:10,15
54640,13,47,PSI*,PSI*,12/01/2011 09:10,31
54640,106,45,PC,PC*,12/01/2011 09:10,17
54640,86,89,PSI*,PSI*,12/01/2011 09:10,32
54640,90,44,PC*,PC*,12/01/2011 09:10,33
54640,94,109,PC*,PC*,12/01/2011 09:10,27
54640,41,10,PSI*,PSI*,12/01/2011 09:10,28
54640,100,45,PC,PC*,12/01/2011 09:10,25
54640,106,66,PC,PC,12/01/2011 09:10,19
54640,28,45,PC,PC*,12/01/2011 09:10,34
54640,106,100,PC,PC,12/01/2011 09:10,23
54640,28,100,PC,PC,12/01/2011 09:10,30
54640,100,66,PC,PC,12/01/2011 09:10,5
54640,37,33,PC,PC*,12/01/2011 09:10,13
54660,13,47,PSI*,PSI*,12/01/2011 09:11,31
54660,106,45,PC,PC*,12/01/2011 09:11,17
