0,1,2
0,Marie Boucher,0
1,Hubert Antheaume,0
2,Roze Boucher,0
3,? Vallet,0
4,? Bec de Fort,0
5,Joseph Labelle,0
6,Joseph Vallet,0
7,Jean Michel,0
8,Jacques Allain,0
9,Guillaume Gray le jeune,0
10,Madeleine Gassau,0
11,Renexent Vanarsen,0
12,Renée Maheur,0
13,Marie Paulet,0
14,Isabelle Maheu,0
15,Marie-Anne de Lamarche,0
16,Georges Maheu,0
17,Pierre de Lamarche,0
18,Michel Villette,0
19,"Jacques Yvon, sr des Landes",0
20,Robert Bussiere,0
21,Christophe Provost,0
22,Robert Bussière,0
23,Paul Bonneau,0
24,Jacques Martin,0
25,Madeleine Boucher,0
26,Louis Vassal,0
27,? Guillocheau,0
28,"Jean Baptiste Boiset, sr de Favel",0
29,Madelaine Boucher,0
30,Veuve Boucher,0
31,Jean Gauret,0
32,? Lesergent,0
33,Julienne ?,0
34,Eloy Antheaume,0
35,Anne Vallet,0
36,François Bouchaud sr de la Foretterie,0
37,Jacques Souchay et Bouchaud,0
38,? Gauvain,0
39,? Belot,0
40,? De la Maison Rouge Perrault,0
41,? Bruneau,0
42,Claude Berthelot,0
43,Maximilien Lebreton,0
44,? De Vonnes Lucas,0
45,René Budan,0
46,Jacques Danguy,0
47,? Stalpart,0
48,? Montaudoin,0
49,? Souchay,0
50,Ancelme Beaugrand,0
51,Jean Mersant,0
52,André Delaville sr de la Foucherie,0
53,François Truseau,0
54,Bernard Gillabert,0
55,Daniel de Vassal,0
56,Michel Tessier,0
57,Josué de Bargeau,0
58,Jean Boucher,0
59,Cornelius Wils,0
60,Jean Wills,0
61,Anne Gallier,0
62,Mathurin Marion,0
63,Moyse Febvre,0
64,Cornelis Wils,0
65,Thymen Van Schoonhoven,0
66,Wils et Van Schoonhoven Cie,0
67,Pierre Guyonneau,0
68,Pierre Guinebaud,0
69,Euzebe de Loynes,0
70,Jean Baptiste Foucaud,0
71,Pierre Goudin,0
72,Arnault de La Conforque,0
73,Jean Batau,0
74,François Laragon,0
75,Daniel Caneret,0
76,Yves Le Fauché,0
77,? Grilleau Cie,0
78,Thomas Barnaval,0
79,Veuve Massuau et Fresneau,0
80,Veuve Massuau,0
81,? Fresneau,0
82,Jacques Souchay,0
83,? Bouchaud,0
84,Gabriel Michel,0
85,Julien Gérard sr de Nays,0
86,André Boussineau,0
87,Claude Marion,0
88,Jacob Van den ?,0
89,?,0
90,? Jego sr Des Preaux ,0
91,Pierre Le Gruyer sr du Couhourdez,0
92,François Lestoubec,0
93,Lorant Hubac,0
94,Yvon Le Danteux,0
95,Michel Foucault,0
96,Euzèbe Foucault,0
97,Nicolas de Gonnor,0
98,Pierre Bernard,0
99,,0
100,Euzèbe de Loynes,0
101,Veuve Louis Le Vassor,1
102,Pierre Benasté,1
103,Charles Pocquelin et Heron Cie,1
104,Charles Pocquelin,1
105,? Heron,1
106,Julien Forget,1
107,Catherine Lefebvre,1
108,"Elizabeth Monnier, dame de la Joffrairie",1
109,? de Loigné,1
110,François Masson,1
111,"Julien Hubin, sr de la Joffrairie",1
112,Charles Cassard,1
113,Robert Miron,1
114,Denis Jaumier,1
115,René Cisson,1
116,Jean Renou,1
117,Bonnaventure Dupé,1
118,Jacques Boucher,1
119,Claude Courdon,1
120,Hervé Le Prince,1
121,Michel Yviquel,1
122,Claude Du Mesnil,1
123,Françoise Seurat,1
124,Jean Merceron sr de la Poitevinière,1
125,Jacques Antheaume,1
126,Jean Chesneau,1
127,Simon Chesneau,1
128,Renée Leboisteux,1
129,Bernard Godin,1
130,? Belliotte,1
131,Jérôme de Vocelle,1
132,Jean Grouart,1
133,Madeline Boucher,1
134,Pierre Gaigneur,1
135,Jean Ragniau,1
136,François Pachon,1
137,? Arnaud Père,1
138,Josué Valens,1
139,Nicolas Bachelier sr du Pinier,1
140,Jérôme Merceron,1
141,Claude de Cornillier,1
142,Jean de Beausse,1
143,Marie Boucher et Hubert Antheaume Cie,1
144,Nicolas Bachelier,1
145,Etienne Huet,1
146,? de Flacon,1
147,Claude Lemasne,1
148,Louis Germain,1
149,Michel Germain sieur de Valecourt,1
150,Damoiselle de Perpignan,1
151,Raoul Sanson,1
152,Julien Chesne le jeune,1
153,"Eloy Antheaume, père",1
154,Pierre de Marle,1
155,Marguerite Antheaume,1
156,"St Severin, Paris",1
157,"Jehan Ory, père",1
158,Jehan Ory  ,1
159,Jehan Du Mesnil,1
160,Catherine Benard,1
161,Pierre Girard,1
162,Claude Gohard,1
163,Eloy Antheaume père,1
164,Madeleine Antheaume,1
165,Marguerite Lescallier,1
166,Jean Antheaume père,1
167,Joseph Estienne Antheaume,1
168,Jean Antheaume,1
169,Marie Antheaume,1
170,Madeleine Antheaume 2,1
171,Madeleine Antheaume é,1
172,Jean Estienne Martin,1
173,Pierre Damoiseau,1
174,Jean Ory père,1
175,Jean Ory  ,1
176,Nicolas de Longueil,1
177,Antoine Antheaume,1
178,Mathurin Dugast,1
179,Jean Masson Lesné,1
180,Julien Gerard sr de Nays,1
181,Jean Ruyo,1
182,François Le Pelletier,1
183,François Lemasson,1
184,Jeanne Renard,1
185,Charles Souyn défunt,1
186,Charles Souyn fils,1
187,Maude Lequere,1
188,Charles Moruan,1
189,Nicolas Hotman,1
