nl;contrat_code;contrat_annee;contrat_lieu;contrat_code_lieu;cantiere;lien_F1F2;Lien_codeF1CodeF2;ind_fonction1;ind1_label;ind1_n_act;ind1_C_std;ind1_N_std;ind1_Code_PR;ind1_Code_O;ind_fonction2;ind2_label;ind2_n_act;ind2_C_std;ind2_N_std;ind2_Code_PR;ind2_Code_O
1;C1711_01_001;1711;brunetta e demonte;BRDE;brunetta e demonte;G1-G2;G-G;G1;243 Origone A. (NS/MI);243;origone;antonio maria;NS;MI;G2;384 Violino P. (fondichiere/MI);384;violino;pietro giacomo;fondichiere;MI
2;C1711_01_001;1711;brunetta e demonte;BRDE;brunetta e demonte;G1-S1;G-S;G1;243 Origone A. (NS/MI);243;origone;antonio maria;NS;MI;S1;223 Menafoglio A. (CM_M/MI);223;menafoglio;agostino;CM_M;MI
3;C1711_01_001;1711;brunetta e demonte;BRDE;brunetta e demonte;G1-S2;G-S;G1;243 Origone A. (NS/MI);243;origone;antonio maria;NS;MI;S2;224 Menafoglio A. (M_M/MI);224;menafoglio;andrea;M_M;MI
4;C1711_01_001;1711;brunetta e demonte;BRDE;brunetta e demonte;G1-S3;G-S;G1;243 Origone A. (NS/MI);243;origone;antonio maria;NS;MI;S3;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI
5;C1711_01_001;1711;brunetta e demonte;BRDE;brunetta e demonte;G1-S4;G-S;G1;243 Origone A. (NS/MI);243;origone;antonio maria;NS;MI;S4;187 Groppi C. (CM_M/MI);187;groppi;carlo;CM_M;MI
6;C1711_01_001;1711;brunetta e demonte;BRDE;brunetta e demonte;G2-S1;G-S;G2;384 Violino P. (fondichiere/MI);384;violino;pietro giacomo;fondichiere;MI;S1;223 Menafoglio A. (CM_M/MI);223;menafoglio;agostino;CM_M;MI
7;C1711_01_001;1711;brunetta e demonte;BRDE;brunetta e demonte;G2-S2;G-S;G2;384 Violino P. (fondichiere/MI);384;violino;pietro giacomo;fondichiere;MI;S2;224 Menafoglio A. (M_M/MI);224;menafoglio;andrea;M_M;MI
8;C1711_01_001;1711;brunetta e demonte;BRDE;brunetta e demonte;G2-S3;G-S;G2;384 Violino P. (fondichiere/MI);384;violino;pietro giacomo;fondichiere;MI;S3;275 Pinchetti D. (CM_M/MI);275;pinchetti;domenico;CM_M;MI
9;C1711_01_001;1711;brunetta e demonte;BRDE;brunetta e demonte;G2-S4;G-S;G2;384 Violino P. (fondichiere/MI);384;violino;pietro giacomo;fondichiere;MI;S4;187 Groppi C. (CM_M/MI);187;groppi;carlo;CM_M;MI
10;C1711_01_001;1711;brunetta e demonte;BRDE;brunetta e demonte;S1-S2;S-S;S1;223 Menafoglio A. (CM_M/MI);223;menafoglio;agostino;CM_M;MI;S2;224 Menafoglio A. (M_M/MI);224;menafoglio;andrea;M_M;MI
