Sdoc_date_YYYYMMJJ,lien_type,I1_Id,I2_Id,I1_nom,I2_nom,Sdoc_Description_synthese,Sdoc_date_YYYYMM,Sdoc_date_YYYY,Sdoc_code_lieu_chantier,Sdoc_code_type_chantier_2
17110407,S---S,223,224,Menafoglio A. (223),Menafoglio A. (224),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,S---S,223,275,Menafoglio A. (223),Pinchetti D. (275),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,S---S,223,187,Menafoglio A. (223),Groppi C. (187),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,S---S,224,275,Menafoglio A. (224),Pinchetti D. (275),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,S---S,224,187,Menafoglio A. (224),Groppi C. (187),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,S---S,275,187,Pinchetti D. (275),Groppi C. (187),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,G-->S,243,223,Origone A.M. (243),Menafoglio A. (223),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,G-->S,243,224,Origone A.M. (243),Menafoglio A. (224),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,G-->S,243,275,Origone A.M. (243),Pinchetti D. (275),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,G-->S,243,187,Origone A.M. (243),Groppi C. (187),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,G-->S,384,223,Violino P.G. (384),Menafoglio A. (223),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,G-->S,384,224,Violino P.G. (384),Menafoglio A. (224),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,G-->S,384,275,Violino P.G. (384),Pinchetti D. (275),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
17110407,G-->S,384,187,Violino P.G. (384),Groppi C. (187),"17110407 - C1711_01_001 - (Cags-Cs): REP, Brunetta & Demonte - Forterresse - ",171104,1711,BR_DE,mil
