user_id,retweet_user_id,screen_name,retweet_screen_name,retweet_created_at,text,time
x1079569541699653632,x833224452787761152,OlgaPrson1,elle_desylva,2020/1/4 10:08,"â€œThis is not something you normally see.â€�?

One very thirsty koala! 

See below for ways to donate to help these beautiful, endangered earthlings <U+0001F428> 

(IG<U+0001F4F8>:@wildlife85official)

#AustraliaOnFire #AustraliaBushfires #AustralianBushfire
#KoalasNotCoal
#AustraliaBurns https://t.co/5Yi5R87HCv",2020/1/4 10:08
x1214352899955924992,x833224452787761152,Cattail41896411,elle_desylva,2020/1/4 10:08,"â€œThis is not something you normally see.â€�?

One very thirsty koala! 

See below for ways to donate to help these beautiful, endangered earthlings <U+0001F428> 

(IG<U+0001F4F8>:@wildlife85official)

#AustraliaOnFire #AustraliaBushfires #AustralianBushfire
#KoalasNotCoal
#AustraliaBurns https://t.co/5Yi5R87HCv",2020/1/4 10:08
x736438401981784065,x1169784912850948098,druzola,ManuelWeberMX,2020/1/4 14:00,"â€œIf this is what we are seeing now at the beginnings of changes due to climate change, then what are we looking at 2C or 4C? I donâ€™t think we can get our heads around what that could be likeâ€�?-Dr. B. Winkle U of Melbourne #ClimateEmergency #ClimateActionNow 
#AustralianBushfire https://t.co/715D2UkNnc",2020/1/4 14:00
x2562416193,x2562416193,Cluckmuckcook,Cluckmuckcook,2020/1/4 21:27,"Itâ€™s heartbreaking to see the devastation of the Australian wildfires.
For the next few months all profits from my little charity baking book will go to support those impacted you these tragic circumstances . Pls RT #australiaisburning #AustralianBushfire 
https://t.co/yvFpOW8fNh",2020/1/4 21:27
x1154048593902239745,x2292488509,angeltweets7,Protect_Wldlife,2020/1/4 22:31,"RT: 

If you buy a Badge, Brooch, Car Sticker, Tote Bag or Conservation Pack this weekend ALL proceeds will go to help the Port Macquarie Koala Hospital treat animals affected by the #AustralianFires.

Available at https://t.co/hGdatZwebx

#AustraliaIsOnFire #AustralianBushfire https://t.co/Ps1BiI31vL",2020/1/4 22:31
x374607415,x374607415,GhinaNahfawi,GhinaNahfawi,2020/1/5 2:13,"An Australian firefighter takes a break from battling a wildfire to give a thirsty #cockatoo a drink of water.
<U+2764><U+0001F613>
#australiaisburning #AustralianBushfire #SaveAustralia https://t.co/XYpfIEoUgx",2020/1/5 2:13
x525783599,x4642424240,GeeGeeAkili,ProBluesPlayer,2020/1/5 5:37,"Unfollow me if you will, but I'm not going to stop sharing and retweeting about the fires in Australia and how bad it is right now.

There aren't even fires directly where I live and this is what it looks like outside. #AustralianBushfire #AustraliaOnFire #AustraliaBurning https://t.co/vsBf7w9jTk",2020/1/5 5:37
x753694640,x4642424240,neneskct,ProBluesPlayer,2020/1/5 5:37,"Unfollow me if you will, but I'm not going to stop sharing and retweeting about the fires in Australia and how bad it is right now.

There aren't even fires directly where I live and this is what it looks like outside. #AustralianBushfire #AustraliaOnFire #AustraliaBurning https://t.co/vsBf7w9jTk",2020/1/5 5:37
x1070868647105650689,x4642424240,jxkerisgay,ProBluesPlayer,2020/1/5 5:37,"Unfollow me if you will, but I'm not going to stop sharing and retweeting about the fires in Australia and how bad it is right now.

There aren't even fires directly where I live and this is what it looks like outside. #AustralianBushfire #AustraliaOnFire #AustraliaBurning https://t.co/vsBf7w9jTk",2020/1/5 5:37
x334270452,x4642424240,kazaangel,ProBluesPlayer,2020/1/5 5:37,"Unfollow me if you will, but I'm not going to stop sharing and retweeting about the fires in Australia and how bad it is right now.

There aren't even fires directly where I live and this is what it looks like outside. #AustralianBushfire #AustraliaOnFire #AustraliaBurning https://t.co/vsBf7w9jTk",2020/1/5 5:37
