time,source,target,st,tt,t
54720,12,13,PC*,PSI*,12/02/2011 08:12:00
54740,12,13,PC*,PSI*,12/02/2011 08:12:00
54760,13,5,PSI*,PSI*,12/02/2011 08:12:00
54760,13,10,PSI*,PSI*,12/02/2011 08:12:00
54880,18,13,PSI*,PSI*,12/02/2011 08:14:00
54900,18,13,PSI*,PSI*,12/02/2011 08:15:00
55220,1,3,PC*,PC*,12/02/2011 08:20:00
55420,9,19,PSI*,PSI*,12/02/2011 08:23:00
55440,9,19,PSI*,PSI*,12/02/2011 08:24:00
55520,9,19,PSI*,PSI*,12/02/2011 08:25:00
55560,9,19,PSI*,PSI*,12/02/2011 08:26:00
55580,9,19,PSI*,PSI*,12/02/2011 08:26:00
55600,9,19,PSI*,PSI*,12/02/2011 08:26:00
55620,9,19,PSI*,PSI*,12/02/2011 08:27:00
55640,9,19,PSI*,PSI*,12/02/2011 08:27:00
55660,9,19,PSI*,PSI*,12/02/2011 08:27:00
55680,9,19,PSI*,PSI*,12/02/2011 08:28:00
55700,9,19,PSI*,PSI*,12/02/2011 08:28:00
55820,9,19,PSI*,PSI*,12/02/2011 08:30:00
55840,9,19,PSI*,PSI*,12/02/2011 08:30:00
55860,9,19,PSI*,PSI*,12/02/2011 08:31:00
55880,9,19,PSI*,PSI*,12/02/2011 08:31:00
55900,9,19,PSI*,PSI*,12/02/2011 08:31:00
55920,9,19,PSI*,PSI*,12/02/2011 08:32:00
55940,9,19,PSI*,PSI*,12/02/2011 08:32:00
55960,9,19,PSI*,PSI*,12/02/2011 08:32:00
55980,9,19,PSI*,PSI*,12/02/2011 08:33:00
56000,9,19,PSI*,PSI*,12/02/2011 08:33:00
56040,9,19,PSI*,PSI*,12/02/2011 08:34:00
56060,9,19,PSI*,PSI*,12/02/2011 08:34:00
56080,9,19,PSI*,PSI*,12/02/2011 08:34:00
56100,9,19,PSI*,PSI*,12/02/2011 08:35:00
56120,9,19,PSI*,PSI*,12/02/2011 08:35:00
56140,9,19,PSI*,PSI*,12/02/2011 08:35:00
56160,9,19,PSI*,PSI*,12/02/2011 08:36:00
56180,9,19,PSI*,PSI*,12/02/2011 08:36:00
56200,9,19,PSI*,PSI*,12/02/2011 08:36:00
56300,9,19,PSI*,PSI*,12/02/2011 08:38:00
56320,9,19,PSI*,PSI*,12/02/2011 08:38:00
56340,9,19,PSI*,PSI*,12/02/2011 08:39:00
56360,9,19,PSI*,PSI*,12/02/2011 08:39:00
56380,9,19,PSI*,PSI*,12/02/2011 08:39:00
58480,9,19,PSI*,PSI*,12/02/2011 09:14:00
58980,9,19,PSI*,PSI*,12/02/2011 09:23:00
59060,9,19,PSI*,PSI*,12/02/2011 09:24:00
59080,9,19,PSI*,PSI*,12/02/2011 09:24:00
59100,9,19,PSI*,PSI*,12/02/2011 09:25:00
59120,9,19,PSI*,PSI*,12/02/2011 09:25:00
59140,9,19,PSI*,PSI*,12/02/2011 09:25:00
60740,9,19,PSI*,PSI*,12/02/2011 09:52:00
60760,9,19,PSI*,PSI*,12/02/2011 09:52:00
60780,9,19,PSI*,PSI*,12/02/2011 09:53:00
60800,9,19,PSI*,PSI*,12/02/2011 09:53:00
60820,9,19,PSI*,PSI*,12/02/2011 09:53:00
60860,9,19,PSI*,PSI*,12/02/2011 09:54:00
60940,9,19,PSI*,PSI*,12/02/2011 09:55:00
60960,9,19,PSI*,PSI*,12/02/2011 09:56:00
60980,9,19,PSI*,PSI*,12/02/2011 09:56:00
61020,9,19,PSI*,PSI*,12/02/2011 09:57:00
61040,9,19,PSI*,PSI*,12/02/2011 09:57:00
61700,9,19,PSI*,PSI*,12/02/2011 10:08:00
61720,9,19,PSI*,PSI*,12/02/2011 10:08:00
61740,9,19,PSI*,PSI*,12/02/2011 10:09:00
61780,9,19,PSI*,PSI*,12/02/2011 10:09:00
61800,9,19,PSI*,PSI*,12/02/2011 10:10:00
61820,9,19,PSI*,PSI*,12/02/2011 10:10:00
61900,9,19,PSI*,PSI*,12/02/2011 10:11:00
