time,source,target,st,tt,t
54720,12,13,PC*,PSI*,12/01/2011 09:00:00
54740,12,13,PC*,PSI*,12/01/2011 09:00:00
54760,13,5,PSI*,PSI*,12/01/2011 09:00:00
54760,13,10,PSI*,PSI*,12/01/2011 09:00:00
54880,18,13,PSI*,PSI*,12/01/2011 09:00:00
54900,18,13,PSI*,PSI*,12/01/2011 09:00:00
55220,1,3,PC*,PC*,12/01/2011 09:00:00
55420,9,19,PSI*,PSI*,12/01/2011 09:00:00
55440,9,19,PSI*,PSI*,12/01/2011 09:00:00
55520,9,19,PSI*,PSI*,12/01/2011 09:00:00
55560,9,19,PSI*,PSI*,12/01/2011 09:00:00
55580,9,19,PSI*,PSI*,12/01/2011 09:00:00
55600,9,19,PSI*,PSI*,12/01/2011 09:00:00
55620,9,19,PSI*,PSI*,12/01/2011 09:00:00
55640,9,19,PSI*,PSI*,12/01/2011 09:00:00
55660,9,19,PSI*,PSI*,12/01/2011 09:00:00
55680,9,19,PSI*,PSI*,12/01/2011 09:00:00
55700,9,19,PSI*,PSI*,12/01/2011 09:00:00
55820,9,19,PSI*,PSI*,12/01/2011 09:30:00
55840,9,19,PSI*,PSI*,12/01/2011 09:30:00
55860,9,19,PSI*,PSI*,12/01/2011 09:30:00
55880,9,19,PSI*,PSI*,12/01/2011 09:30:00
55900,9,19,PSI*,PSI*,12/01/2011 09:30:00
55920,9,19,PSI*,PSI*,12/01/2011 09:30:00
55940,9,19,PSI*,PSI*,12/01/2011 09:30:00
55960,9,19,PSI*,PSI*,12/01/2011 09:30:00
55980,9,19,PSI*,PSI*,12/01/2011 09:30:00
56000,9,19,PSI*,PSI*,12/01/2011 09:30:00
56040,9,19,PSI*,PSI*,12/01/2011 09:30:00
56060,9,19,PSI*,PSI*,12/01/2011 09:30:00
56080,9,19,PSI*,PSI*,12/01/2011 09:30:00
56100,9,19,PSI*,PSI*,12/01/2011 09:30:00
56120,9,19,PSI*,PSI*,12/01/2011 09:30:00
56140,9,19,PSI*,PSI*,12/01/2011 09:30:00
56160,9,19,PSI*,PSI*,12/01/2011 09:30:00
56180,9,19,PSI*,PSI*,12/01/2011 09:30:00
56200,9,19,PSI*,PSI*,12/01/2011 09:30:00
56300,9,19,PSI*,PSI*,12/01/2011 09:30:00
56320,9,19,PSI*,PSI*,12/01/2011 09:30:00
56340,9,19,PSI*,PSI*,12/01/2011 09:30:00
56360,9,19,PSI*,PSI*,12/01/2011 09:30:00
56380,9,19,PSI*,PSI*,12/01/2011 09:30:00
58480,9,19,PSI*,PSI*,12/01/2011 10:00:00
